Area,Section,Row,Seat,Lock,Allocation,Total-Seats,Seat-Type
101,101,11,6,OPENHOLD,,1,
101,101,11,7,OPENHOLD,,1,
101,101,11,8,OPENHOLD,,1,
101,101,11,9,OPENHOLD,,1,
101,101,11,10,OPENHOLD,,1,
101,101,11,11,OPENHOLD,,1,
101,101,11,12,OPENHOLD,,1,
101,101,11,13,OPENHOLD,,1,
101,101,11,14,OPENHOLD,,1,
101,101,11,15,OPENHOLD,,1,
101,101,11,16,OPENHOLD,,1,
101,101,11,17,OPENHOLD,,1,
101,101,12,1,OPENHOLD,,1,
101,101,12,2,OPENHOLD,,1,
101,101,12,3,OPENHOLD,,1,
101,101,12,4,OPENHOLD,,1,
101,101,12,5,OPENHOLD,,1,
101,101,12,6,OPENHOLD,,1,
101,101,12,7,OPENHOLD,,1,
101,101,12,8,OPENHOLD,,1,
101,101,12,9,OPENHOLD,,1,
101,101,12,10,OPENHOLD,,1,
101,101,12,11,OPENHOLD,,1,
101,101,12,12,OPENHOLD,,1,
101,101,12,13,OPENHOLD,,1,
101,101,12,14,OPENHOLD,,1,
101,101,12,15,OPENHOLD,,1,
101,101,12,16,OPENHOLD,,1,
101,101,12,17,OPENHOLD,,1,
101,101,12,18,OPENHOLD,,1,
101,101,13,1,OPENHOLD,,1,
101,101,13,2,OPENHOLD,,1,
101,101,13,3,OPENHOLD,,1,
101,101,13,4,OPENHOLD,,1,
101,101,13,5,OPENHOLD,,1,
101,101,13,6,OPENHOLD,,1,
101,101,13,7,OPENHOLD,,1,
101,101,13,8,OPENHOLD,,1,
101,101,13,9,OPENHOLD,,1,
101,101,13,10,OPENHOLD,,1,
101,101,13,11,OPENHOLD,,1,
101,101,13,12,OPENHOLD,,1,
101,101,13,13,OPENHOLD,,1,
101,101,13,14,OPENHOLD,,1,
101,101,13,15,OPENHOLD,,1,
101,101,13,16,OPENHOLD,,1,
101,101,13,17,OPENHOLD,,1,
101,101,13,18,OPENHOLD,,1,
101,101,14,1,OPENHOLD,,1,
101,101,14,2,OPENHOLD,,1,
101,101,14,3,OPENHOLD,,1,
101,101,14,4,OPENHOLD,,1,
101,101,14,5,OPENHOLD,,1,
101,101,14,6,OPENHOLD,,1,
101,101,14,7,OPENHOLD,,1,
101,101,14,8,CARMEN,,1,
101,101,14,9,CARMEN,,1,
101,101,14,10,CARMEN,,1,
101,101,14,11,CARMEN,,1,
101,101,14,12,OPENHOLD,,1,
101,101,14,13,OPENHOLD,,1,
101,101,14,14,OPENHOLD,,1,
101,101,14,15,OPENHOLD,,1,
101,101,14,16,OPENHOLD,,1,
101,101,14,17,OPENHOLD,,1,
101,101,14,18,OPENHOLD,,1,
101,101,14,19,OPENHOLD,,1,
101,101,15,1,OPENHOLD,,1,
101,101,15,2,OPENHOLD,,1,
101,101,15,3,OPENHOLD,,1,
101,101,15,4,OPENHOLD,,1,
101,101,15,5,OPENHOLD,,1,
101,101,15,6,OPENHOLD,,1,
101,101,15,7,OPENHOLD,,1,
101,101,15,8,OPENHOLD,,1,
101,101,15,9,OPENHOLD,,1,
101,101,15,10,OPENHOLD,,1,
101,101,15,11,OPENHOLD,,1,
101,101,15,12,OPENHOLD,,1,
101,101,15,13,OPENHOLD,,1,
101,101,15,14,OPENHOLD,,1,
101,101,15,15,OPENHOLD,,1,
101,101,15,16,OPENHOLD,,1,
101,101,15,17,OPENHOLD,,1,
101,101,15,18,OPENHOLD,,1,
101,101,15,19,OPENHOLD,,1,
101,101,15,20,OPENHOLD,,1,
101,101,16,1,SALES-INVENTORY,,1,
101,101,16,2,SALES-INVENTORY,,1,
101,101,16,3,SALES-INVENTORY,,1,
101,101,16,4,OPENHOLD,,1,
101,101,16,5,OPENHOLD,,1,
101,101,16,6,OPENHOLD,,1,
101,101,16,7,OPENHOLD,,1,
101,101,16,8,OPENHOLD,,1,
101,101,16,9,OPENHOLD,,1,
101,101,16,10,OPENHOLD,,1,
101,101,16,11,OPENHOLD,,1,
101,101,16,12,OPENHOLD,,1,
101,101,16,13,OPENHOLD,,1,
101,101,16,14,OPENHOLD,,1,
101,101,16,15,OPENHOLD,,1,
101,101,16,16,OPENHOLD,,1,
101,101,16,17,OPENHOLD,,1,
101,101,16,18,OPENHOLD,,1,
101,101,16,19,OPENHOLD,,1,
101,101,16,20,OPENHOLD,,1,
101,101,17,1,ADA-LTDMOB,,1,SA1
101,101,17,2,ADA-LTDMOB,,1,SA1
101,101,17,3,OPENHOLD,,1,
101,101,17,4,OPENHOLD,,1,
101,101,17,5,OPENHOLD,,1,
101,101,17,6,OPENHOLD,,1,
101,101,17,7,OPENHOLD,,1,
101,101,17,8,OPENHOLD,,1,
101,101,17,9,OPENHOLD,,1,
101,101,17,10,OPENHOLD,,1,
101,101,17,11,OPENHOLD,,1,
101,101,17,12,OPENHOLD,,1,
101,101,17,13,OPENHOLD,,1,
101,101,17,14,OPENHOLD,,1,
101,101,17,15,OPENHOLD,,1,
101,101,17,16,OPENHOLD,,1,
101,101,17,17,OPENHOLD,,1,
101,101,17,18,OPENHOLD,,1,
101,101,17,19,OPENHOLD,,1,
